ACC=0.673074, f1_macro=0.669458, precision_macro=0.691307, recall_macro=0.692316, f1_micro=0.673074, precision_micro=0.673074, recall_micro=0.673074, NMI=0.305842, ADJ_RAND_SCORE=0.294192
ACC=0.673530, f1_macro=0.669877, precision_macro=0.691935, recall_macro=0.692552, f1_micro=0.673530, precision_micro=0.673530, recall_micro=0.673530, NMI=0.306109, ADJ_RAND_SCORE=0.294764
ACC=0.673023, f1_macro=0.669365, precision_macro=0.691363, recall_macro=0.692197, f1_micro=0.673023, precision_micro=0.673023, recall_micro=0.673023, NMI=0.305839, ADJ_RAND_SCORE=0.294121
ACC=0.673632, f1_macro=0.669991, precision_macro=0.692050, recall_macro=0.692637, f1_micro=0.673632, precision_micro=0.673632, recall_micro=0.673632, NMI=0.306252, ADJ_RAND_SCORE=0.294905
ACC=0.673581, f1_macro=0.669939, precision_macro=0.692014, recall_macro=0.692595, f1_micro=0.673581, precision_micro=0.673581, recall_micro=0.673581, NMI=0.306218, ADJ_RAND_SCORE=0.294855
ACC=0.673632, f1_macro=0.669989, precision_macro=0.692069, recall_macro=0.692638, f1_micro=0.673632, precision_micro=0.673632, recall_micro=0.673632, NMI=0.306278, ADJ_RAND_SCORE=0.294928
ACC=0.673683, f1_macro=0.670048, precision_macro=0.692078, recall_macro=0.692757, f1_micro=0.673683, precision_micro=0.673683, recall_micro=0.673683, NMI=0.306518, ADJ_RAND_SCORE=0.295065
ACC=0.673581, f1_macro=0.669939, precision_macro=0.692014, recall_macro=0.692595, f1_micro=0.673581, precision_micro=0.673581, recall_micro=0.673581, NMI=0.306218, ADJ_RAND_SCORE=0.294855
ACC=0.673581, f1_macro=0.669939, precision_macro=0.692014, recall_macro=0.692595, f1_micro=0.673581, precision_micro=0.673581, recall_micro=0.673581, NMI=0.306218, ADJ_RAND_SCORE=0.294855
ACC=0.674646, f1_macro=0.670872, precision_macro=0.691915, recall_macro=0.693545, f1_micro=0.674646, precision_micro=0.674646, recall_micro=0.674646, NMI=0.305842, ADJ_RAND_SCORE=0.295280
ACC=0.674646, f1_macro=0.670861, precision_macro=0.691873, recall_macro=0.693544, f1_micro=0.674646, precision_micro=0.674646, recall_micro=0.674646, NMI=0.305769, ADJ_RAND_SCORE=0.295240
ACC=0.674646, f1_macro=0.670884, precision_macro=0.691937, recall_macro=0.693545, f1_micro=0.674646, precision_micro=0.674646, recall_micro=0.674646, NMI=0.305891, ADJ_RAND_SCORE=0.295297
ACC=0.674596, f1_macro=0.670809, precision_macro=0.691837, recall_macro=0.693502, f1_micro=0.674596, precision_micro=0.674596, recall_micro=0.674596, NMI=0.305735, ADJ_RAND_SCORE=0.295189
ACC=0.674646, f1_macro=0.670861, precision_macro=0.691873, recall_macro=0.693544, f1_micro=0.674646, precision_micro=0.674646, recall_micro=0.674646, NMI=0.305769, ADJ_RAND_SCORE=0.295240
ACC=0.674798, f1_macro=0.671055, precision_macro=0.692081, recall_macro=0.693633, f1_micro=0.674798, precision_micro=0.674798, recall_micro=0.674798, NMI=0.305950, ADJ_RAND_SCORE=0.295421
ACC=0.674697, f1_macro=0.670936, precision_macro=0.691841, recall_macro=0.693585, f1_micro=0.674697, precision_micro=0.674697, recall_micro=0.674697, NMI=0.305611, ADJ_RAND_SCORE=0.295217
ACC=0.674697, f1_macro=0.670936, precision_macro=0.691841, recall_macro=0.693585, f1_micro=0.674697, precision_micro=0.674697, recall_micro=0.674697, NMI=0.305611, ADJ_RAND_SCORE=0.295217
ACC=0.674798, f1_macro=0.671026, precision_macro=0.691966, recall_macro=0.693671, f1_micro=0.674798, precision_micro=0.674798, recall_micro=0.674798, NMI=0.305800, ADJ_RAND_SCORE=0.295378
ACC=0.674697, f1_macro=0.670936, precision_macro=0.691841, recall_macro=0.693585, f1_micro=0.674697, precision_micro=0.674697, recall_micro=0.674697, NMI=0.305611, ADJ_RAND_SCORE=0.295217
ACC=0.677131, f1_macro=0.673148, precision_macro=0.694210, recall_macro=0.695833, f1_micro=0.677131, precision_micro=0.677131, recall_micro=0.677131, NMI=0.309839, ADJ_RAND_SCORE=0.298920
ACC=0.677131, f1_macro=0.673150, precision_macro=0.694248, recall_macro=0.695833, f1_micro=0.677131, precision_micro=0.677131, recall_micro=0.677131, NMI=0.309732, ADJ_RAND_SCORE=0.298858
ACC=0.675965, f1_macro=0.671837, precision_macro=0.693018, recall_macro=0.694928, f1_micro=0.675965, precision_micro=0.675965, recall_micro=0.675965, NMI=0.308624, ADJ_RAND_SCORE=0.297384
ACC=0.676675, f1_macro=0.672675, precision_macro=0.693960, recall_macro=0.695453, f1_micro=0.676675, precision_micro=0.676675, recall_micro=0.676675, NMI=0.309522, ADJ_RAND_SCORE=0.298431
